team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Sacramento Kings,2020,38,17,114.68,119.11,38,16,112.45,115.45
San Antonio Spurs,2020,37,14,110.22,113.78,39,19,110.97,112.15
Toronto Raptors,2020,37,16,110.92,109.78,38,13,111.45,113.39
Utah Jazz,2020,44,37,117.59,105.43,42,24,115.45,111.29
Washington Wizards,2020,41,22,117.95,118.07,41,15,113.49,118.39
Atlanta Hawks,2021,46,30,115.98,110.72,47,18,109.51,112.26
Boston Celtics,2021,55,36,109.2,103.16,55,31,110.98,104.95
Brooklyn Nets,2021,46,23,110.52,112.17,45,25,115.07,111.64
Charlotte Hornets,2021,43,22,111.84,112.77,44,22,116.45,117.27
Chicago Bulls,2021,46,30,113.65,110.83,45,21,108.27,111.58
Cleveland Cavaliers,2021,44,25,107.57,103.82,45,21,107.11,107.8
Dallas Mavericks,2021,51,37,108.37,101.55,53,28,107.91,107.28
Denver Nuggets,2021,44,24,114.93,112.75,48,26,109.96,109.02
Detroit Pistons,2021,43,15,105.47,110.05,43,10,104.19,115.0
Golden State Warriors,2021,56,45,113.79,103.36,53,29,109.08,108.36
Houston Rockets,2021,43,12,112.09,118.6,43,9,106.93,117.6
Indiana Pacers,2021,43,17,113.63,114.49,43,10,108.6,114.98
Los Angeles Clippers,2021,45,26,109.02,107.8,43,17,107.07,109.67
Los Angeles Lakers,2021,44,21,111.3,113.32,44,12,111.73,117.43
Memphis Grizzlies,2021,50,36,116.4,106.84,50,29,113.02,111.56
Miami Heat,2021,54,39,110.35,103.96,52,30,107.75,105.58
Milwaukee Bucks,2021,49,31,113.98,110.29,50,28,113.26,111.2
Minnesota Timberwolves,2021,46,29,112.98,108.65,47,23,117.74,117.4
New Orleans Pelicans,2021,46,22,111.33,109.41,48,19,106.6,111.1
New York Knicks,2021,44,20,106.68,107.41,42,21,107.19,105.5
Oklahoma City Thunder,2021,44,13,104.61,110.86,42,12,102.98,113.02
Orlando Magic,2021,43,13,104.09,111.84,43,10,103.65,111.6
Philadelphia 76ers,2021,49,30,110.08,106.2,49,29,108.78,108.14
Phoenix Suns,2021,50,39,115.12,105.92,49,35,112.73,108.31
Portland Trail Blazers,2021,43,17,108.4,113.79,43,10,102.81,116.56
Sacramento Kings,2021,43,18,110.6,114.12,43,16,110.28,116.16
San Antonio Spurs,2021,44,18,113.64,112.64,44,19,112.05,112.11
Toronto Raptors,2021,46,27,110.63,106.83,47,26,107.81,108.13
Utah Jazz,2021,46,32,116.37,107.0,46,21,108.57,107.93
Washington Wizards,2021,43,21,111.51,112.65,43,14,105.84,111.86
Atlanta Hawks,2022,45,26,119.98,117.89,48,20,116.13,117.94
Boston Celtics,2022,54,38,118.67,109.52,52,32,115.4,112.54
Brooklyn Nets,2022,45,23,111.27,109.91,45,24,112.56,113.98
Charlotte Hornets,2022,44,13,108.77,116.18,43,14,111.77,118.16
Chicago Bulls,2022,44,24,114.98,111.45,44,20,111.7,111.75
Cleveland Cavaliers,2022,46,33,111.76,104.63,45,20,110.16,108.62
Dallas Mavericks,2022,42,23,115.12,112.62,43,17,112.77,114.81
